Progress,Duration (in seconds),Finished,ResponseId,Q2_1,Q2_2,Q2_3,Q13,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q16,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q11,Q17,Q5,Q8,Q8_4_TEXT,Q20,Q20_5_TEXT
Progress,Duration (in seconds),Finished,Response ID,"The essential use concept (EUC) is aimed to guide the phasing out of the most harmful substances. Currently, essential use is defined as the use of a chemical which is deemed “necessary for health, safety or is critical for the functioning of society” and also where “there are no available technically and economically feasible alternatives”.

The EUC should be enforceable, effective and understandable:

	Enforceable - Member States should be able to detect breaches to policy regarding the EUC, and to determine the penalties that would apply to the infringement of REACH provisions.
	Effective - The EUC should help decision-makers avoid loop holes and lengthy decision-making processes regarding chemicals policy for the most harmful substances.
	Understandable - The EUC should be comprehensible to all stakeholders, including non-expert members of the Public.



Given the current definition of essential use, please rate how effective, enforceable and understandable the EUC is overall - enforceable","The essential use concept (EUC) is aimed to guide the phasing out of the most harmful substances. Currently, essential use is defined as the use of a chemical which is deemed “necessary for health, safety or is critical for the functioning of society” and also where “there are no available technically and economically feasible alternatives”.

The EUC should be enforceable, effective and understandable:

	Enforceable - Member States should be able to detect breaches to policy regarding the EUC, and to determine the penalties that would apply to the infringement of REACH provisions.
	Effective - The EUC should help decision-makers avoid loop holes and lengthy decision-making processes regarding chemicals policy for the most harmful substances.
	Understandable - The EUC should be comprehensible to all stakeholders, including non-expert members of the Public.



Given the current definition of essential use, please rate how effective, enforceable and understandable the EUC is overall - effective","The essential use concept (EUC) is aimed to guide the phasing out of the most harmful substances. Currently, essential use is defined as the use of a chemical which is deemed “necessary for health, safety or is critical for the functioning of society” and also where “there are no available technically and economically feasible alternatives”.

The EUC should be enforceable, effective and understandable:

	Enforceable - Member States should be able to detect breaches to policy regarding the EUC, and to determine the penalties that would apply to the infringement of REACH provisions.
	Effective - The EUC should help decision-makers avoid loop holes and lengthy decision-making processes regarding chemicals policy for the most harmful substances.
	Understandable - The EUC should be comprehensible to all stakeholders, including non-expert members of the Public.



Given the current definition of essential use, please rate how effective, enforceable and understandable the EUC is overall - understandable","[Optional] if you'd like to add anything about your response to the question above, please do so here:","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Medical items","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Food contact materials","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Cosmetics","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Electronics","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Toys","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Sports & leisurewear","Since harmful chemicals can be used in a wide range of domains, from medicine to toys, chemical policy using the EUC may have to take into account that different domains of use may have different criteria to define 'essential' or 'non-essential'. This may affect how well the EUC works in different use domains, in practice.

Across the different use domains below, how would you rate the priority of applying the EUC to the use of most harmful substances (e.g., 0 - of the lowest priority, the EUC should not be applied in these domains to ascertain whether a chemical use is essential; 100 - of the highest priority, the EUC should definitely be used in these domains to ascertain whether a chemical use is essential). - Building/construction","[Optional] if you'd like to add anything about your response to the question above, please do so here:","Health & Safety

A range of criteria could be used to make decisions on essential uses of harmful chemicals. For example, decisions could be based on different functions in the context of health and safety. In your view, how important are these different functions to consider in such decisions?



Please rate from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions. - Medical treatments","Health & Safety

A range of criteria could be used to make decisions on essential uses of harmful chemicals. For example, decisions could be based on different functions in the context of health and safety. In your view, how important are these different functions to consider in such decisions?



Please rate from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions. - Dealing with human health crises/emergencies","Health & Safety

A range of criteria could be used to make decisions on essential uses of harmful chemicals. For example, decisions could be based on different functions in the context of health and safety. In your view, how important are these different functions to consider in such decisions?



Please rate from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions. - Public and personal safety","Health & Safety

A range of criteria could be used to make decisions on essential uses of harmful chemicals. For example, decisions could be based on different functions in the context of health and safety. In your view, how important are these different functions to consider in such decisions?



Please rate from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions. - Protection of animal health and pest control","Health & Safety

A range of criteria could be used to make decisions on essential uses of harmful chemicals. For example, decisions could be based on different functions in the context of health and safety. In your view, how important are these different functions to consider in such decisions?



Please rate from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions. - Access to clean water, safe food and shelter","[Optional] if you'd like to add anything about your response to the question above, please do so here:","Functioning of society

Criteria have also been suggested for making decisions on essential uses of harmful chemicals related to being 'critical for the functioning of society'.



Please rate the importance of each criterion from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions - Providing infrastructure and technology to support modern lifestyles","Functioning of society

Criteria have also been suggested for making decisions on essential uses of harmful chemicals related to being 'critical for the functioning of society'.



Please rate the importance of each criterion from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions - Dealing with social risks/impacts from crises/emergencies","Functioning of society

Criteria have also been suggested for making decisions on essential uses of harmful chemicals related to being 'critical for the functioning of society'.



Please rate the importance of each criterion from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions - Protecting cultural and intellectual aspects, including religious practices","Functioning of society

Criteria have also been suggested for making decisions on essential uses of harmful chemicals related to being 'critical for the functioning of society'.



Please rate the importance of each criterion from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions - Supporting scientific and technological advancement","Functioning of society

Criteria have also been suggested for making decisions on essential uses of harmful chemicals related to being 'critical for the functioning of society'.



Please rate the importance of each criterion from 0 - not at all important, serving this function should not inform decisions to 100 - of the most importance, serving this function should inform decisions - Protecting the natural environment; reducing carbon emissions","[Optional] if you'd like to add anything about your response to the question above, please do so here:","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - Performance of alternatives is too poor in comparison to original performance","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - Costs to industry would be too high","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - Changes to the product may affect consumer satisfaction/sales","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - Costs to the consumer would be too high","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - There is not enough data/evidence (on performance, risks & costs) of alternatives","Alternatives

Substitution relies upon having 'technically and economically feasible alternatives' to replace harmful chemical uses. Below are potential barriers to substitution within the EUC and beyond. 

Please rate these barriers by the difficulty they currently pose to successful substitution within the EUC (e.g., 0 - very easy, this issue poses no barrier to successful substitution of harmful chemical uses; 100 - very difficult, this issue poses a huge barrier to successful substitution of harmful chemicals, which currently cannot be overcome). - Risks of the alternatives might be comparable to those of the original chemical","[Optional] if you'd like to add anything about your response to the question above, please do so here:","As a reminder, the EUC is defined as the use of a chemical which is deemed “necessary for health, safety or is critical for the functioning of society” and also where “there are no available technically and economically feasible alternatives”. It should be applied only in the case of the most harmful chemicals.

Given the current EUC definition, which of the following options would you most support regarding EUC implementation in chemicals policy?","[Optional] if you'd like to add anything about your response to the question above, please do so here:","As a reminder, the EUC is defined as the use of a chemical which is deemed “necessary for health, safety or is critical for the functioning of society” and also where “there are no available technically and economically feasible alternatives”. It should be applied only in the case of the most harmful chemicals.

If you were to alter the current EUC definition, what changes would you make? If you'd like to include your own definition, please do so (type response below)","Lastly, please answer the following demographic information questions (this is to help us compare trends across different groups):

Select which of the following best describes your field of work: - Selected Choice","Lastly, please answer the following demographic information questions (this is to help us compare trends across different groups):

Select which of the following best describes your field of work: - Other - Text",Which gender do you identify as? - Selected Choice,Which gender do you identify as? - Other - Text
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_5_TEXT""}"
100,33,TRUE,R_2CBx7ufpfPNcrQD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Chemical sector,,,
100,43,TRUE,R_1KYGcLf8vCGooKt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Female,
100,241064,TRUE,R_2eWqkws9ajW3nJf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic,,,
100,347365,TRUE,R_SDkgtYkyrl1axBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,
100,313,TRUE,R_2xJe4BXTX9vMKyD,60,50,40,Enforceability will likely improve following the EC definition and criteria,100,80,90,60,90,70,90,,80,70,90,50,90,,40,50,60,60,90,,70,40,10,30,55,75,Additional consumer knowledge is needed ,The EUC should be implemented as a mandatory assessment only for certain use domains,,The functioning of society should be defined too,Academic,,Female,
100,641,TRUE,R_2zvzdfCafBhxWBW,80,60,90,,80,100,100,90,100,100,80,,70,80,80,60,80,,80,90,30,100,100,,20,40,15,70,80,85,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
100,650,TRUE,R_2ah2n1vSkLbnIac,80,60,50,,100,100,100,100,100,100,100,,80,100,100,90,100,,50,100,60,30,90,,61,8,43,21,15,36,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,NGO,,Female,
