Progress,Duration (in seconds),Finished,ResponseId,Q2_1,Q2_2,Q2_3,Q13,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q16,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q11,Q17,Q5,Q8,Q8_4_TEXT,Q20,Q20_5_TEXT
100,530676,TRUE,R_8wFtQpLJpf6dtOp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The EUC should be implemented as a mandatory assessment in all chemical regulations,The essential-use concept has the potential to change the perspective to evaluate potential derogations to restriction on harmful chemicals.,,Academic,,,
100,443,TRUE,R_8dbNTvQMGL6ac2B,30,20,70,,80,60,60,60,40,70,70,,100,80,60,80,90,,40,40,20,100,90,,50,10,30,30,20,10,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,an independent board should decide where EUC is apllied; no industry lobbying should be involved,"Academic,Water sector",,Male,
100,830,TRUE,R_3PRHnNJjWt02yg3,50,50,30,,90,100,80,40,50,70,60,,90,100,70,60,80,,60,100,50,80,90,,50,10,10,30,90,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"Once an essential use is established the pressure on innovations to replace it is gone. There should be a driving force for replacements, also for essential uses.",Water sector,,Male,
100,861,TRUE,R_5gmzduiumgjkME1,10,30,50,"The definition can be interpreted in many different ways and give plenty of space for discussion, whereas the basic idea is logic and understandable.",100,50,100,100,70,50,50,,80,100,90,80,100,,80,60,20,50,80,,50,40,60,60,30,90,,The EUC should be implemented as a mandatory assessment only for certain use domains,,"In my view, the EUC definition could be reserved: these use of very harmful substances is not allowed in non-essential uses. If this would mean that these non-essential uses cannot be replaced, so be it (we can probably easily life without). ",Regulatory,,Male,
100,492,TRUE,R_8jIfiktG0jj30Ep,50,80,,,50,100,100,80,100,100,80,,80,90,90,70,100,,90,30,50,80,90,,16,3,10,27,39,92,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,"Academic,Other",,Female,
100,422,TRUE,R_2TSlnz50JtlZZjK,50,60,40,"Even if clear, the missing bit might be the context in which this concept is applied. For instance, a certain application or location can make one chemical necessary, whereas it is not for some others.  ",100,100,70,70,70,70,70,,90,100,100,90,100,,50,80,40,70,80,,8,10,10,19,10,90,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,"Chemical sector,Other",,Male,
100,551,TRUE,R_263SwCGX0Pq8c7v,20,20,20,"From a practical POV, the EUC seems very qualitative and at risk of lawsuits.",10,70,90,50,90,90,50,It is difficult to distinguish the essentiality of a chemical from the essentiality of the product group in this question.,90,100,80,50,70,,60,100,20,50,90,,49,50,49,50,49,49,I am not competent to answer this question.,The EUC should be implemented as a mandatory assessment only for certain use domains,,"I think we will need to define a cost-benefit analytical threshold for different kinds of functions.  Not that I am in favour of that kind of analysis, but I think it will be inevitable if the legislation is to be clear.",Academic,,Prefer not to say,
86,273,FALSE,R_31c92fxzEh3hh3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1120,TRUE,R_33pCnx1sFiNIMaG,30,20,50,,80,,,80,,,10,"The 0 score is based on the idea that toys, food cosmetics and sportswear should never need the EUC, as these are not essential. No discussion.",80,50,20,50,60,I hope i understood correctly. Very complext quenstion. Basic idea: for necessary things (medicines) of course criteria are helpful/needed for decisions ,10,40,,10,10,,16,18,20,18,19,51,"similar risk of alternatives is likely, but should be avoided",The EUC should be implemented as a mandatory assessment only for certain use domains,,unavoidable for health and safety and without acceptable alternatives,Water sector,,Male,
100,1348,TRUE,R_10Oxd41WiMh03SR,60,70,60,,60,100,100,70,100,90,70,,60,50,100,60,60,,20,80,20,80,90,,70,60,30,60,70,70,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Regulatory,,Female,
100,496,TRUE,R_24waqvH3Gk8Hood,70,70,70,,100,100,100,100,100,100,100,,80,80,80,80,80,,70,70,70,70,70,,40,40,10,40,20,80,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,NGO,,Female,
100,483,TRUE,R_Dr9DKbLG22NQDG9,80,60,70,,80,100,80,70,100,70,80,,90,80,100,80,100,,70,90,70,70,90,,50,61,40,60,30,81,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Female,
100,72339,TRUE,R_3kMxhGwvrqHD9f2,,,,,,,,,,,,,90,90,90,70,80,,70,80,20,80,90,,50,30,15,30,38,65,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,"Academic,Chemical sector,Regulatory",,Male,
7,13,FALSE,R_Cfz2YSTKplkO7JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,69,FALSE,R_1lrSpnaPmZiFJkN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,78,FALSE,R_2dzmSxnjVw07Ogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1449,TRUE,R_1eFaiX6KdEKrTMg,20,20,20,,100,100,100,70,100,100,70,,90,100,100,90,100,"Protection of animal health and pest control - does this refer to so-called ""livestock""? We need to reduce the amount of factory farming anyways, so given the ideal case that mega farming is restricted, less treatment would be needed to prevent diseases amongst the non-human animals, zoonotic diseases as well as antibiotic resistance. Thus, an essentiality assessment needs to account the big picture as well (meaning, ""essentiality"" may vary over time and circumstances).

Regarding medical treatments: There is a big difference between ""livestyle medicine"" (e.g. ibuprofene) and medicine that helps to prevent from severe illness or death.",50,100,0,100,100,"A modern lifestyle might be ""nice to have"" and needs specification here.
The cultural and intellectual aspect in relation to religious practices is a broad term which has come up in several discussions now. Has there been also an example given? ",30,70,70,60,90,50,Product performance is probably tightly connected to consumer psychology and the convenient lifestyle that we are used to.,The EUC should be implemented as a mandatory assessment in all chemical regulations,"At least in REACH, a lot of EUC elements can already be found. I suggest, to demand chemical users to defend why a specific use is essential as an add-on decision tool, i.e. they need to channel their argumentation to the essentiality of a use but in a test phase there might not be legal consequences. Just the fact that companies and we as a society think about essentiality is a progress towards better health and environmental protection (such as biodiversity).",The essential use criteria need to be based on scientific social studies as well.,"Academic,Regulatory",,Female,
100,3013,TRUE,R_3e2hPUnutHFSaXL,10,10,10,,0,50,50,100,100,80,0,"It is assumed that the term medical items includes medicinal products.  The inter-linking of the REACH essential use concept to the therapeutic intent of a specific medicinal product must be avoided in the interests of better regulation in the EU.  Only stakeholders – governments, regulatory authorities e.g., the EMA or National Competent Authorities, the medical profession, can determine what medicines are necessary for the health, safety and functioning of society.  ",100,100,100,100,100,"It is inappropriate for an essential use concept in REACH to evaluate the essentiality of harmful chemicals used in the manufacture of medical treatments, which are approved medicinal products.   Essentiality of a medicinal product is considered as part of a medicine's risk benefit assessment, performed by the EMA (European Medicines Agency).  ",70,90,20,80,80,,100,80,70,70,100,100,,No policy changes; EUC should not be implemented,,,Chemical sector,,Prefer not to say,
88,33,FALSE,R_3hsCzkCHJb8qnWq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,FALSE,R_1dG15bFuiBuKhn9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,FALSE,R_2P0aY5L2tVofcRy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,66769,FALSE,R_1etLkiE5rgDgGwQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,158825,TRUE,R_1GHdDRSFXGI9rtA,,,50,,80,,,,,,20,,90,90,100,80,100,,20,90,60,60,90,,10,,,20,,40,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Female,
100,413,TRUE,R_3RgcjaaiQaoLbY6,10,10,10,,100,100,100,100,100,100,100,,100,100,100,100,100,,,,,,100,,100,,,,100,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Other,circular economy,Female,
94,615,FALSE,R_2rVg5nAfz65jHTi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No policy changes; EUC should not be implemented,,,NGO,,,
69,1977,FALSE,R_1N4FArfVmOwQvv0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,121628,FALSE,R_Ovc1cv8xig2g2fT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,116302,FALSE,R_28V7WiZaeEDYeUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2304,TRUE,R_3FUtueHg9KQPEbN,70,50,80,"It is not yet known how the EUC would help the available methodologies based on existing regulations and processes.
",50,90,100,40,80,70,60,,80,70,100,90,60,,60,80,70,90,100,,94,25,4,59,74,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,"It depends on the effectiveness of the criteria to be developed under EUC. However, if and when high confidence can be achieved, EUC could be a screening level assessment process.","... health risks, safety during use or ...",Regulatory,,Female,
100,1911,TRUE,R_3s6BthHtolxDrle,50,50,50,"As long as there are no criteria as to what means necessary for health and safety or critical for the functioning of the society it is, in our view, difficult to rate how enforceable, effective and understandable the concept is. ",70,100,100,90,100,100,90,We would like to stress that most of the above domains cover a broad range of products within which makes it difficult to give an absolute assessment. ,100,100,100,100,100,"We would like to stress that again that factors influencing the above domains (e.g. access to clean water, food and shelter) are broad. Therefore, whether the use of a most harmful chemical is essential depends on the situation (e.g. clean water is missing due to infrastructure or geographical and/or political circumstances). ",30,70,30,30,80,We would like to stress that it depends a lot on which specific situations are covered by the above domains. It is difficult to provide an overall rating. ,50,20,10,30,80,90,Specifically for the last question the answer depends on which product is concerned. ,No policy changes; EUC should not be implemented,,,Other,Expert institution,Female,
69,488,FALSE,R_2AYJ5V0uzM1JcEp,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1157,TRUE,R_2PAtKHHdxA9DmEb,70,80,80,,60,100,90,70,100,80,70,,90,90,80,40,100,,20,50,0,20,30,,15,10,5,5,20,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"I would probably not change the definition of EUC. However, I think there could be a benefit in re-defining the most harmful chemicals and perhaps exclude e.g., STOT and resp sensitisers from the definition.",Other,Retail,Female,
100,1665,TRUE,R_QnvTnAr6EJJ5Vvj,50,30,60,,100,100,100,70,100,60,80,,90,100,50,100,80,,10,80,40,40,100,,79,71,50,40,80,80,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Female,
100,7412,TRUE,R_1Nyv35kfSrh7E0n,60,60,60,,100,100,100,100,100,100,100,,50,50,50,50,100,"I find this question a bit mistakable - does a high priority for many of the obove listed functions lead to many cases in which essenciality of a product can be constructed? This would facilitate that many products are classified as essential, right?",,10,,,10,,,,,,5,13,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"replace: ""functioning of society"" 
instead: functioning of society is not possible without this substance;

and also: “there are no alternatives”; reasoning: increased demand will soon facilitate feasibility. focussing on a static current situation is impeding progress (towards urgently needed solutions for chemical damages).",Water sector,,Male,
6,14,FALSE,R_RgZyy6TLieGWsNz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30,FALSE,R_3n8jzW0kqeX5UiD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42,FALSE,R_2uE40l76dwOgZ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,60,FALSE,R_3fYSa7XWEY55IUd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,150,FALSE,R_Zf0pWeBmxPa9fRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,58,FALSE,R_svZEBivW8Ii06MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,597529,FALSE,R_3fqrjByqDl0VgZb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,57821,FALSE,R_1hSALtb0iv2ynQn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,47,FALSE,R_ZEK0LV8nJp6tTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3169,FALSE,R_qC4GDYiPS8CvqvL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39,FALSE,R_3MDxGMdGiXyCgew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,5583,TRUE,R_2V8PJrIjWXc59WO,30,70,50,,100,20,20,80,,,40,EUC would be very important to be applied to PPP (plant protection products) in terms of food security,70,100,80,80,90,,10,80,10,60,60,,60,60,10,50,80,90,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Chemical sector,,Male,
6,15,FALSE,R_30hLIsxglQXlffC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,222,FALSE,R_3hiGrfNBE9d4gWt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,228,TRUE,R_3ElF7r1k4uqxe7z,,,,,50,50,50,50,50,50,50,,100,100,100,100,100,,100,100,100,100,100,,50,100,100,100,100,100,,Voluntary practice,,,Chemical sector,,Female,
69,408100,FALSE,R_2CWd42Sv6bOK9uA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,439,TRUE,R_6usTVfITOz9P7Et,50,50,50,,60,90,90,50,90,90,30,,70,70,70,50,80,,50,50,40,40,80,,50,40,50,60,50,80,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Female,
100,58908,TRUE,R_2YEMJOh9waBQ6TU,50,40,70,"Enforcing requires that companies (honestly) report their use of substances, but will likely require expensive chemical analyses to be conducted by regulatory agencies. The cost of breaking these regulations must be felt by the industry. which is usually not the case (fines are not in line with the true incomes).
Additionally, use of the term ""economically feasible alternatives” potentially leaves a massive loophole.",100,100,100,80,100,100,80,"My choices here were based on ""essential"" use of specific products together will knowledge of exposure to humans.",100,80,100,90,100,,80,90,70,80,100,,60,37,60,80,80,80,"Several of these issues tie in to ""economic impacts"", again speaking to the loophole I mentioned earlier. These problems are larger than just this question but rather indicative of our entire economic systems (read - capitalisms).  TO be discussed elsewhere...",The EUC should be implemented as a mandatory assessment in all chemical regulations,"We need to be ambitious. The threats posed by chemicals are existential. Companies should pay for innovation and tech, testing, regulations (they often report record profits, they can afford it).",,Academic,,Female,
100,1276,TRUE,R_2AMuT7DBBhe7vAa,10,20,60,,80,100,100,60,100,60,40,,100,90,70,40,100,,30,100,80,90,90,,48,,4,91,96,62,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,"Academic,NGO",,Male,
100,585,TRUE,R_2cbmukprKWr9S9T,60,50,60,,80,100,100,60,100,100,50,,100,70,100,90,100,,60,90,10,100,100,,61,20,6,13,6,81,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"proposed change: """"there are no available technically, economically, and ecologically feasible alternatives”.",Other,public administration,Prefer not to say,
6,508630,FALSE,R_9TCeDdJVMDi3SJr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,420,TRUE,R_0qCguYWAnLyldZL,20,30,80,,100,100,100,100,100,100,100,,100,100,100,70,100,,40,100,20,70,90,,70,15,19,28,81,60,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
100,638,TRUE,R_3qsZzp6mG2ABKq0,0,0,20,,0,40,40,10,90,40,10,,10,10,20,20,10,,10,10,10,10,0,,90,50,80,50,90,90,,No policy changes; EUC should not be implemented,,The current European chemical assessment procedure as used by SEAC is sufficient. The current EUC would be impossible to enforce as it is way to subjective and would even potentially stop the development of products that may not exist today but will be necessary for societal needs not yet defined.,"Chemical sector,Regulatory",,Male,
100,382,TRUE,R_3dUPMHk1m7T17AB,40,50,60,,90,90,90,90,90,90,90,,100,100,100,100,100,,80,80,70,70,80,,82,16,50,16,53,91,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Female,
100,5290,TRUE,R_3fl5b0rPi2S5Auc,50,40,90,"It will be difficult to avoid discussion about terms like 'critical for the functionality of scociety',  because everyone will have a different opinion on what is 'critical'. ",90,100,100,80,100,80,100,The priority should be the highest in goods/products in direct contact with human bodies and water. ,60,,,,100,Pest control implies that the situation is not balanced. It is better to introduce natural 'pest control' instead of chemical. For public health / crisismanagement other routes instead of chemical treatment should be investigated. ,,,,,100,In the current situation only protection of the environment (biodiversity) should have priority. All others are luxuary and not strictly necessary. Or can be solved in other ways (replacing chemical substances in religious practices for example).,20,30,30,20,10,,"The costs may seem too high, but that is only because at the current situation not all costs are incorporated (environmental damage etc). The introduction of alternatives is just 'a decision' and industry should take the consumers by hand to lead them to the alternatives and be satisfied. ",The EUC should be implemented as a mandatory assessment in all chemical regulations,We don't know yet which chemicals are really harmful and therefore it should be applied to all chemicals; a transition is needed. ,The available alternatives should not necesseraly be 'economically feasible'; that part of the definition should be changed in a way that all costs are incorporated and in a way that PMT features are intorable. ,Water sector,,Female,
100,302,TRUE,R_3m2EDwOjqZ7VcoH,40,40,80,,80,100,90,40,100,40,50,,90,40,100,80,100,,90,50,80,90,90,,29,10,33,43,74,81,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,1195,TRUE,R_2a9PM58ck1r0ZWM,50,60,40,,60,90,100,60,100,100,60,"One would need a definition of ""essential domains"" too, to answer this question",90,90,90,90,90,,60,90,60,60,90,,40,20,20,40,40,80,,The EUC should be implemented as a mandatory assessment only for certain use domains,,"necessary for DEFINED USER DOMAINS IN health, safety or is critical for the functioning of society",Academic,,Male,
19,601661,FALSE,R_xFpKeL92laJc6ZP,0,0,20,"Low rating results from subjectivity of the words used in definition, such as essential, necessary, critical. Even if we try to define those words we end up with further subjective terms. Based on current definition, without defining decision maker it is not enforceable at all and hence not effective. Concept as such is slightly understandable in principle though.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,574,TRUE,R_3nfunKgt7Ajtx7m,70,60,80,,70,100,100,30,90,90,30,,80,60,80,60,100,,60,80,50,60,80,,80,90,71,100,80,90,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,297,TRUE,R_3Gx0ogMKbIP18LM,70,100,100,,100,100,100,100,100,100,100,The concept should be applied to all domains equally.,100,100,100,100,100,All important,50,100,50,100,100,,50,61,10,62,31,92,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
6,387,FALSE,R_1Kv8UhasHSbtCgN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4898,TRUE,R_2RWeCGS1d0fIXaV,50,50,80,,,100,100,10,100,80,40,,50,50,50,50,50,There should be a difference between allowed application under normal circumstances and application in an emergency case.,,50,,50,70,,70,,70,,40,,,The EUC should be implemented as a mandatory assessment in all chemical regulations,"No policy changes bring no change on pollution, voluntary practice puts no pressure to industries, excluding certain applications from a potential ban because they fulfil the EUC may happen, but to exclude whole domains from the start could be exploited as a loophole.","""necessary for health [and] safety [with no alternative that is at least as effective in its function] or is critical for the the functioning of society""

In the sectors health and safety, there are situations in which it may be necessary to have the absolute best option for health and safety available without the compromise of a worse alternative that is, however, still ""technically and economically feasible"" but worse in its performance. Here it may be worth to discuss, if there should be a distinction between, e.g., an emergency case and the standard situation - similar to the use of antibiotics, where there are compounds that are only allowed, if every other alternative fails.",Academic,,Male,
6,123,FALSE,R_1DMbHxOBBUeB3qS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,877,TRUE,R_3MrEedKjzaTL2GV,60,40,40,,90,50,50,70,50,50,60,,60,90,60,50,50,,,30,,10,20,,5,4,0,16,80,86,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
100,661,TRUE,R_3Rw4dFJuOFsICub,60,60,40,,20,90,80,80,100,80,70,,90,80,70,60,70,,70,70,60,90,90,,71,75,60,75,85,80,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,506,TRUE,R_2645qVmVJLr0yZY,50,80,100,IND needs to proof that there is NO alternative available,70,100,100,90,100,80,100,,60,60,90,100,100,,40,60,70,70,100,,80,100,60,80,100,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"The burden of proof needs to be on side of the IND, meaning that any EU is not authorized unless IND has provided proff no alternative is available. ",Regulatory,,Male,